$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
17,11,5,2,8,20,6,0.25,10,2,4,0.67,29,1,0,22,7,37.84,13.83,7233.63,0.17,102,0.07,401.87,523.19,0.17,5,10,25,0.11,53,49,23,12,57,31.25,24,0
2,9,3,0,1,16,5,0.56,6,2,3,0.6,17,4,0,9,1,12.5,13,2112.7,0.05,37,0.08,117.37,162.52,0.8,5,8,14,0.36,13,24,7,14,14,10,9,0
2,5,1,1,1,6,3,0.17,2,3,2,0.67,8,3,1,17,1,15.99,12.44,2476.9,0.07,44,0.08,137.61,199.04,1,2,3,7,0.13,16,28,9,14,23,10.53,18,0
4,5,1,0,0,8,3,0.3,4,2,2,0.67,11,1,0,10,0,21.06,5.85,720.66,0.04,29,0.17,40.04,123.19,0.33,2,4,10,0.19,13,16,10,9,16,0,10,0
7,5,1,3,0,0,3,0.15,0,0,1,0.33,11,1,0,17,2,21.09,13,3563.68,0.09,72,0.08,197.98,274.13,0.33,0,0,10,0.11,26,46,7,7,28,15,20,0
5,11,5,0,0,20,6,0.46,10,2,5,0.83,26,1,0,13,0,27.56,14.4,5715.21,0.13,89,0.07,317.51,396.89,0.17,5,10,22,0.25,24,65,10,12,24,0,13,0
2,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,1,0,0,2,0.14,2,6,2,5,7,0,3,0
2,5,0,0,0,0,3,0.33,0,0,1,0.33,9,1,0,9,1,12.72,10.31,1352.83,0.04,29,0.1,75.16,131.18,0.33,0,0,8,0.23,11,18,8,15,13,0,9,0
36,21,1,18,43,38,11,0.16,18,2,3,0.27,42,1,0,51,0,15.89,87.82,122506.36,0.47,279,0.01,6805.91,1395,0.09,10,19,33,0.07,92,187,11,21,150,54.46,69,1
1,9,3,0,0,0,5,0.28,0,0,5,1,24,1,0,18,0,31.67,17.05,9208.55,0.18,109,0.06,511.59,540.01,0.2,0,0,21,0.24,54,55,19,12,21,0,18,0
6,5,1,1,4,8,3,0.25,4,2,1,0.33,11,1,0,11,1,12.3,29,10341.88,0.12,75,0.03,574.55,356.62,0.33,2,4,10,0.13,29,46,9,18,24,31.25,12,0
0,69,8,0,0,0,35,1,0,0,11,0.31,141,19,0,0,3,0,0,0,0,0,0,0,0,0.54,0,0,108,0.44,0,0,0,0,80,0,0,0
1,3,1,1,19,4,2,0.09,2,2,1,0.5,6,1,0,21,2,27.56,24.75,16880.93,0.23,139,0.04,937.83,682.06,0.5,1,2,6,0.04,33,106,12,18,45,48.78,22,0
