$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
2,5,2,0,0,8,3,0.5,4,2,2,0.67,11,1,0,6,0,17.34,8.25,1180.25,0.05,35,0.12,65.57,143.06,0.33,2,4,10,0.21,9,26,6,11,14,0,6,0
2,3,1,0,0,0,2,0.18,0,0,1,0.5,7,1,0,11,0,18.01,6.25,703.67,0.04,27,0.16,39.09,112.59,0.5,0,0,7,0.13,10,17,8,10,15,0,11,0
2,1,1,0,1,0,1,0.17,0,0,1,1,3,1,0,6,1,8.72,4,139.48,0.01,11,0.25,7.75,34.87,1,0,0,4,0.01,4,7,3,6,80,14.29,6,0
1,7,0,0,0,0,4,0.4,0,0,1,0.25,16,1,0,10,3,8.7,21.6,4061.3,0.06,46,0.05,225.63,188.02,0.25,0,0,14,0.33,18,28,5,12,12,0,10,0
8,13,1,7,2,18,7,0.19,6,3,2,0.29,24,5,0,29,0,22.98,22.76,11910.2,0.17,102,0.04,661.68,523.19,0.71,6,9,19,0.15,43,59,17,18,48,23.68,36,1
22,11,9,0,16,20,6,0.16,10,2,4,0.67,28,1,0,38,1,56.19,18.28,18778.17,0.34,182,0.05,1043.23,1027.18,0.17,5,10,24,0.08,65,117,32,18,78,29.63,38,0
13,11,2,2,30,20,6,0.12,10,2,4,0.67,23,1,0,48,1,35.29,31.25,34462.66,0.37,202,0.03,1914.59,1102.81,0.17,5,10,19,0.06,75,127,24,20,95,40,50,0
4,3,2,0,2,4,2,0.18,2,2,2,1,8,1,0,11,0,15.45,11,1869.09,0.06,40,0.09,103.84,169.92,0.5,1,2,8,0.11,16,24,8,11,19,15.38,11,0
4,27,5,0,13,0,14,0.41,0,0,14,1,61,14,1,34,4,36.12,34.34,42589.6,0.41,230,0.03,2366.09,1240.23,1,0,0,49,0.22,101,129,25,17,65,27.66,34,0
15,6,1,0,6,0,5,0.17,0,0,5,1,16,1,0,30,1,25.36,25.88,16988.95,0.22,126,0.04,943.83,656.39,0.2,0,0,13,0.09,44,82,17,20,53,16.67,30,0
0,5,1,0,0,0,3,0.6,0,0,2,0.67,11,1,0,5,1,4.61,13.5,840.64,0.02,18,0.07,46.7,62.27,0.33,0,0,10,0.5,6,12,2,9,6,0,5,0
7,26,11,4,5,30,16,0.19,12,2,12,0.75,57,8,0,81,1,41.54,53.56,119157.6,0.74,355,0.02,6619.87,2224.71,0.5,9,15,43,0.16,122,233,41,36,99,10,85,0
3,51,9,0,2,0,26,0.33,0,0,16,0.62,108,22,0,80,2,59.54,44.94,120228.24,0.89,438,0.02,6679.35,2675.53,0.85,0,0,84,0.3,192,246,47,22,86,2.44,80,0
24,9,3,6,16,16,5,0.14,8,2,4,0.8,24,1,0,30,1,30.18,28,23660,0.28,169,0.04,1314.44,845,0.2,4,8,21,0.06,72,97,18,14,77,42.31,36,0
1,9,0,0,0,0,5,0.56,0,0,1,0.2,17,3,0,9,2,8.93,15.75,2214.71,0.05,38,0.06,123.04,140.62,0.6,0,0,14,0.42,14,24,4,9,12,0,9,0
3,7,3,0,0,12,4,0.5,6,2,3,0.75,16,1,0,8,0,20.85,10,2084.61,0.07,51,0.1,115.81,208.46,0.25,3,6,14,0.24,14,37,7,10,17,0,8,0
0,5,1,1,1,0,3,0.38,0,0,2,0.67,10,1,0,7,0,15.56,9,1260,0.05,35,0.11,70,140,0.33,0,0,9,0.27,14,21,7,9,11,22.22,8,0
13,11,2,1,0,20,6,0.25,10,2,2,0.33,24,1,0,23,2,14.74,29.17,12541.67,0.14,86,0.03,696.76,430,0.17,5,10,20,0.15,35,51,12,20,39,4.17,24,0
