$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
4,5,1,0,0,8,3,0.33,4,2,2,0.67,8,1,0,9,2,23.64,9.31,2048.42,0.07,48,0.11,113.8,220.08,0.33,2,4,7,0.21,22,26,13,11,14,0,9,0
1,7,4,0,0,12,4,0.19,6,2,2,0.5,24,1,0,21,3,34.66,14.24,7026.27,0.16,97,0.07,390.35,493.48,0.25,3,6,22,0.17,46,51,21,13,23,0,21,0
35,7,5,4,57,12,4,0.09,6,2,2,0.5,25,1,0,42,1,77.69,36.83,105400.45,0.95,458,0.03,5855.58,2861.55,0.25,3,6,23,0.03,221,237,57,19,139,59.22,46,1
2,7,1,0,0,12,4,0.36,6,2,2,0.5,14,3,0.67,11,3,13.39,14.22,2707.88,0.06,41,0.07,150.44,190.4,0.75,3,6,12,0.29,16,25,9,16,14,0,11,0
4,27,0,1,4,46,14,0.64,20,2.3,1,0.07,46,9,0.62,21,2,15.66,31.95,15993.34,0.17,102,0.03,888.52,500.5,0.64,13,23,34,0.45,37,65,11,19,31,19.23,22,0
0,5,1,0,0,6,3,0.6,2,3,2,0.67,8,3,1,5,2,11.99,5.4,349.52,0.02,17,0.19,19.42,64.73,1,2,3,7,0.5,6,11,5,9,6,0,5,0
40,33,1,5,23,52,17,0.31,20,2.6,11,0.65,49,17,1,49,2,56.67,17.49,17327.12,0.33,173,0.06,962.62,990.93,1,16,26,34,0.14,68,105,35,18,118,36.36,54,0
2,5,3,0,0,8,3,0.27,4,2,3,1,10,1,0,11,3,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,0.33,2,4,9,0.21,15,21,9,10,14,0,11,0
4,5,1,1,7,8,3,0.17,4,2,2,0.67,14,1,0,17,4,42.71,14.57,9068.9,0.21,114,0.07,503.83,622.38,0.33,2,4,13,0.1,51,63,28,16,30,32,18,0
14,9,3,1,10,16,5,0.28,8,2,2,0.4,22,1,0,17,2,35.29,23.68,19791.23,0.28,156,0.04,1099.51,835.78,0.2,4,8,19,0.12,74,82,25,16,43,39.29,18,0
29,15,4,4,13,14,9,0.23,6,2.33,6,0.67,31,5,0.5,35,2,39.96,20.3,16466.48,0.27,143,0.05,914.8,811.16,0.56,4,7,24,0.1,58,85,30,21,89,32.68,39,0
18,7,5,6,0,12,4,0.13,6,2,4,1,17,1,0,24,1,56.95,11.11,7030.54,0.21,111,0.09,390.59,632.75,0.25,3,6,15,0.08,50,61,36,16,49,20,30,1
33,15,6,9,52,20,8,0.15,6,3.33,4,0.5,35,1,0,43,0,77.75,20.89,33939.63,0.54,260,0.05,1885.54,1624.46,0.13,7,10,29,0.06,117,143,56,20,138,58.65,52,0
1,3,1,0,0,4,2,0.25,2,2,2,1,7,1,0,8,2,13.69,6.43,565.71,0.03,22,0.16,31.43,88,0.5,1,2,7,0.2,10,12,7,9,10,0,8,0
35,75,12,3,64,116,38,0.26,42,2.76,15,0.39,126,32,0.84,144,1,115.86,37.39,161985.9,1.44,624,0.03,8999.22,4332.13,0.84,37,59,90,0.15,279,345,97,26,247,31.75,147,1
16,27,5,1,1,32,15,0.23,14,2.29,8,0.53,49,7,0.43,65,1,44.88,33.62,50731.38,0.5,233,0.03,2818.41,1508.85,0.47,9,16,36,0.18,99,134,53,36,84,2.99,66,1
4,33,8,0,0,58,17,0.44,26,2.23,10,0.59,63,8,0.44,39,3,47.02,30.81,44643.75,0.48,238,0.03,2480.21,1448.82,0.47,16,29,48,0.39,106,132,43,25,44,0,39,0
2,5,3,0,3,8,3,0.27,4,2,3,1,11,1,0,11,0,33.36,3.5,408.65,0.04,28,0.29,22.7,116.76,0.33,2,4,10,0.18,11,17,11,7,17,21.43,11,0
3,3,0,1,1,4,2,0.15,2,2,1,0.5,6,1,0,12,1,30.83,17.31,9235.67,0.18,111,0.06,513.09,533.62,0.5,1,2,6,0.11,30,81,13,15,18,14.29,13,0
