$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
1,3,4,0,19,4,2,0.08,2,2,1,0.5,15,1,0,24,2,53.7,16.1,13923.65,0.29,154,0.06,773.54,864.67,0.5,1,2,15,0.04,73,81,34,15,45,44.19,24,0
10,5,1,2,7,6,3,0.21,2,3,2,0.67,8,3,1,12,1,23.74,10.21,2476.96,0.08,51,0.1,137.61,242.5,1,2,3,7,0.09,22,29,14,13,32,42.86,14,0
13,9,3,1,0,16,5,0.2,8,2,2,0.4,20,1,0,24,2,26.39,18.43,8961.02,0.16,92,0.05,497.83,486.26,0.2,4,8,17,0.13,43,49,21,18,39,4,25,0
5,5,1,3,1,8,3,0.13,4,2,1,0.33,12,1,0,20,1,43.19,11.18,5397.81,0.16,92,0.09,299.88,482.81,0.33,2,4,11,0.1,43,49,25,13,30,16.67,23,0
0,3,0,1,1,4,2,0.29,2,2,1,0.5,6,1,0,6,0,27.01,11.69,3692.07,0.11,65,0.09,205.11,315.77,0.5,1,2,6,0.22,19,46,13,16,9,25,7,0
5,1,3,0,9,16,1,0.05,8,2,1,1,8,1,0,19,1,69.53,16.72,19441.83,0.39,206,0.06,1080.1,1162.63,1,4,8,9,0.03,86,120,36,14,34,32.14,19,0
19,5,4,3,12,8,3,0.18,4,2,3,1,17,1,0,14,2,28.72,14.88,6354.23,0.14,82,0.07,353.01,427.18,0.33,2,4,16,0.06,35,47,20,17,49,51.72,17,0
20,15,3,8,11,28,8,0.18,14,2,3,0.38,32,1,0,37,0,56.27,20,22506.86,0.38,189,0.05,1250.38,1125.34,0.13,7,14,26,0.1,84,105,42,20,77,33.93,45,0
13,11,2,2,30,20,6,0.12,10,2,4,0.67,23,1,0,49,1,65.63,21.2,29496.56,0.46,227,0.05,1638.7,1391.35,0.17,5,10,19,0.06,106,121,50,20,95,39.51,51,0
1,16,3,0,0,20,10,0.43,10,2,9,0.9,42,1,0,23,3,19.57,30.94,18729.81,0.2,119,0.03,1040.55,605.41,0.1,5,10,34,0.4,55,64,16,18,25,0,23,0
4,11,4,0,3,18,6,0.25,8,2.25,4,0.67,22,4,0.6,24,2,29.2,19.5,11102.33,0.19,111,0.05,616.8,569.35,0.67,5,9,18,0.19,52,59,20,15,32,11.11,24,0
