$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
1,3,2,0,0,4,2,0.4,2,2,2,1,8,1,0,5,0,11.2,7.5,630,0.03,21,0.13,35,84,0.5,1,2,8,0.29,9,12,6,10,7,0,5,0
2,5,2,1,3,8,3,0.21,4,2,1,0.33,12,1,0,13,1,17.5,12.5,"2,734.06",0.07,46,0.08,151.89,218.72,0.33,2,4,11,0.15,20,26,12,15,20,23.53,14,1
0,3,1,0,0,4,2,0.14,2,2,2,1,5,1,0,14,1,20.76,12.27,"3,126.53",0.08,58,0.08,173.7,254.75,0.5,1,2,5,0.13,27,31,11,10,15,0,14,0
2,3,2,0,0,4,2,0.1,2,2,2,1,7,1,0,20,1,32.81,7.76,"1,978.37",0.08,53,0.13,109.91,254.79,0.5,1,2,7,0.09,24,29,17,11,23,0,20,0
19,17,13,0,0,4,15,0.27,2,2,14,0.93,35,1,0,55,1,48.69,19.67,"18,831.94",0.32,159,0.05,"1,046.22",957.56,0.07,1,2,22,0.2,59,100,39,26,75,0,55,0
5,7,0,0,0,10,4,0.31,4,2.5,1,0.25,12,4,1,13,2,17.83,10.4,"1,928.85",0.06,41,0.1,107.16,185.47,1,3,5,10,0.21,16,25,10,13,19,0,13,0
1,5,3,0,0,8,3,0.25,4,2,3,1,11,1,0,12,2,19.82,16,"5,073.1",0.11,64,0.06,281.84,317.07,0.33,2,4,10,0.21,30,34,15,16,14,0,12,0
4,5,1,1,3,8,3,0.25,4,2,2,0.67,9,1,0,11,0,31.09,12.37,"4,760.62",0.13,75,0.08,264.48,384.7,0.33,2,4,8,0.15,33,42,20,15,20,26.67,12,0
0,3,0,0,0,4,2,0.18,2,2,1,0.5,6,1,0,11,1,16.61,3,149.49,0.02,15,0.33,8.3,49.83,0.5,1,2,6,0.17,4,11,4,6,12,0,11,0
1,7,0,0,1,12,4,0.31,6,2,1,0.25,14,1,0,13,1,14.3,23.27,"7,746.14",0.11,70,0.04,430.34,332.84,0.25,3,6,12,0.25,32,38,11,16,16,7.14,13,0
16,15,9,4,2,12,9,0.23,4,3,7,0.78,33,5,0.5,36,0,41.98,23.21,"22,625.5",0.32,165,0.04,"1,256.97",974.64,0.56,4,6,26,0.15,65,100,35,25,59,14.29,40,0
0,9,0,0,0,12,5,0.83,4,3,1,0.2,13,5,1,6,1,18.02,6.29,712.17,0.04,29,0.16,39.57,113.3,1,4,6,10,0.71,11,18,7,8,7,0,6,0
18,27,8,2,7,40,16,0.23,20,2,8,0.5,67,5,0.27,68,1,45.8,56.02,"143,728.13",0.86,407,0.02,"7,984.9","2,565.64",0.31,10,20,53,0.15,183,224,49,30,110,11.69,70,0
1,3,1,0,0,4,2,0.18,2,2,2,1,8,1,0,11,1,22.15,6.4,907.38,0.05,34,0.16,50.41,141.78,0.5,1,2,8,0.15,16,18,10,8,13,0,11,0
0,3,1,0,0,4,2,0.5,2,2,2,1,6,1,0,4,1,12.17,8.4,858.37,0.03,25,0.12,47.69,102.19,0.5,1,2,6,0.4,7,18,5,12,5,0,4,0
34,37,4,21,62,72,19,0.15,36,2,3,0.16,90,1,0,107,0,65.2,50.76,"168,007.02",1.1,494,0.02,"9,333.72","3,310.02",0.05,18,36,73,0.08,209,285,70,34,225,43.68,128,1
1,5,2,0,1,6,3,0.43,2,3,3,1,8,3,1,7,0,19.38,5.06,496.63,0.03,24,0.2,27.59,98.1,1,2,3,7,0.3,9,15,8,9,10,12.5,7,0
4,5,1,0,0,8,3,0.43,4,2,2,0.67,10,1,0,7,0,13.13,11,"1,588.72",0.05,34,0.09,88.26,144.43,0.33,2,4,9,0.25,16,18,8,11,12,0,7,0
2,3,0,1,0,4,2,0.18,2,2,1,0.5,6,1,0,10,2,14.55,10.56,"1,623.78",0.05,35,0.09,90.21,153.73,0.5,1,2,6,0.14,13,22,8,13,14,9.09,11,0
0,3,2,0,0,4,2,0.33,2,2,2,1,8,1,0,6,2,11.42,6.67,507.65,0.03,20,0.15,28.2,76.15,0.5,1,2,8,0.29,10,10,6,8,7,0,6,0
0,9,1,0,4,12,5,0.26,4,3,3,0.6,14,5,1,19,3,30.08,11.53,"3,998.33",0.12,70,0.09,222.13,346.79,1,4,6,11,0.21,28,42,17,14,24,17.39,19,0
9,13,6,7,4,24,7,0.15,12,2,6,0.86,37,1,0,40,0,67.47,13.2,"11,756.11",0.3,149,0.08,653.12,890.61,0.14,6,12,32,0.11,66,83,45,18,61,21.57,47,1
3,9,1,3,4,16,5,0.31,8,2,2,0.4,16,1,0,13,0,39.65,12.16,"5,863.3",0.16,90,0.08,325.74,482.18,0.2,4,8,13,0.21,38,52,25,16,24,35,16,1
1,5,2,0,0,8,3,0.5,4,2,2,0.67,11,1,0,6,1,17.3,4.2,305.12,0.02,21,0.24,16.95,72.65,0.33,2,4,10,0.38,7,14,5,6,8,0,6,0
19,15,3,2,35,28,8,0.13,14,2,2,0.25,36,4,0.43,62,0,41.25,40.3,66987,0.55,275,0.02,"3,721.5","1,662.21",0.5,7,14,30,0.07,124,151,40,26,119,37.37,64,0
11,17,1,7,31,20,11,0.27,10,2,4,0.36,30,1,0,34,0,44.18,22.67,"22,710.3",0.33,171,0.04,"1,261.68","1,001.71",0.09,5,10,21,0.13,69,102,35,23,84,52.78,41,0
9,12,6,2,0,8,8,0.3,2,4,6,0.75,20,4,0.43,25,0,34.52,16.8,"9,743.56",0.19,105,0.06,541.31,579.97,0.5,3,4,14,0.22,40,65,25,21,37,7.41,27,0
4,11,4,0,3,18,6,0.25,8,2.25,4,0.67,22,4,0.6,24,2,29.2,19.5,"11,102.33",0.19,111,0.05,616.8,569.35,0.67,5,9,18,0.19,52,59,20,15,32,11.11,24,0
32,24,2,1,8,14,19,0.23,6,2.33,18,0.95,58,1,0,80,1,41.45,45.39,"85,416.04",0.63,304,0.02,"4,745.34","1,881.71",0.05,4,7,41,0.16,123,181,42,31,122,10.11,81,0
15,21,2,15,12,38,11,0.14,18,2.11,3,0.27,48,5,0.4,62,0,44.17,19.55,"16,883.11",0.29,153,0.05,937.95,863.51,0.45,10,19,39,0.1,54,99,29,21,105,30.34,77,0
20,13,7,0,16,22,7,0.18,10,2.2,6,0.86,30,3,0.33,40,1,55.34,17.53,"16,997.52",0.32,167,0.06,944.31,969.83,0.43,6,11,25,0.09,74,93,38,18,77,28.57,40,0
7,8,5,0,0,4,6,0.21,2,2,5,0.83,19,1,0,28,1,34.79,13.73,"6,559.11",0.16,86,0.07,364.4,477.69,0.17,1,2,15,0.17,34,52,26,21,36,0,28,1
2,11,1,7,1,16,6,0.24,6,2.67,3,0.5,19,5,0.8,18,0,43.77,11.31,"5,596.62",0.16,93,0.09,310.92,494.94,0.83,5,8,15,0.21,42,51,26,14,29,30.77,25,0
1,5,3,2,1,8,3,0.3,4,2,3,1,11,1,0,8,0,22.95,7.27,"1,213.88",0.06,38,0.14,67.44,166.91,0.33,2,4,10,0.23,16,22,11,10,13,27.27,10,0
11,11,1,1,27,20,6,0.14,10,2,3,0.5,22,1,0,43,1,47.47,22.17,"23,323.93",0.35,182,0.05,"1,295.77","1,052.21",0.17,5,10,18,0.07,84,98,36,19,83,39.44,44,0
