$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
4,3,1,0,7,4,2,0.15,2,2,1,0.5,6,1,0,13,1,33.42,14.53,"7,052.69",0.16,98,0.07,391.82,485.51,0.5,1,2,6,0.08,46,52,19,12,25,35,13,0
17,23,2,1,15,44,12,0.17,22,2,1,0.08,51,1,0,68,0,160.24,23.38,"87,570.07",1.25,536,0.04,4865,"3,745.93",0.08,11,22,41,0.12,236,300,106,21,102,19.05,69,1
60,10,3,4,3,12,6,0.17,6,2,6,1,20,1,0,32,3,49.14,11.67,"6,688.01",0.19,107,0.09,371.56,573.26,0.17,3,6,16,0.06,45,62,27,14,100,17.95,36,0
4,25,1,0,0,48,13,0.43,24,2,13,1,71,1,0,30,0,63.69,18.78,"22,456.97",0.4,213,0.05,"1,247.61","1,195.93",0.08,12,24,60,0.37,104,109,36,13,35,0,30,0
1,7,1,1,0,12,4,0.22,6,2,2,0.5,15,3,0.67,17,0,18.99,16.32,"5,067.07",0.1,66,0.06,281.5,310.23,0.75,3,6,13,0.2,28,38,12,14,20,5.56,18,0
3,13,9,0,2,24,7,0.32,12,2,7,1,32,4,0.5,22,1,34.83,15.79,"8,682.88",0.18,111,0.06,482.38,549.92,0.57,6,12,27,0.25,50,61,19,12,28,8.33,22,0
1,13,2,0,0,22,7,0.26,10,2.2,3,0.43,24,1,0,27,2,18.92,19.63,"7,291.52",0.12,73,0.05,405.08,371.38,0.14,6,11,19,0.24,31,42,15,19,29,0,27,0
1,7,4,0,0,12,4,0.33,6,2,3,0.75,20,3,0.67,12,2,18.68,12.83,"3,076.44",0.08,51,0.08,170.91,239.72,0.75,3,6,18,0.29,22,29,12,14,14,0,12,0
5,3,0,0,0,4,2,0.29,2,2,1,0.5,6,1,0,7,0,14.04,2,56.15,0.01,10,0.5,3.12,28.07,0.5,1,2,6,0.15,3,7,3,4,13,0,7,0
27,17,3,0,20,28,9,0.11,14,2,3,0.33,47,1,0,84,1,140.08,46.39,"301,439.38",2.17,876,0.02,"16,746.63","6,498.04",0.11,7,14,40,0.07,419,457,140,31,132,19.23,84,1
8,14,2,9,4,16,9,0.26,8,2,9,1,24,1,0,25,0,49.99,23.34,"27,225.87",0.39,200,0.04,"1,512.55","1,166.58",0.11,4,8,17,0.19,69,131,34,23,47,34.21,34,0
1,5,2,0,0,6,3,0.3,2,3,2,0.67,10,3,1,10,2,14.12,10.89,"1,674.72",0.05,34,0.09,93.04,153.8,1,2,3,9,0.25,14,20,9,14,12,0,10,0
