$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
10,41,1,10,16,80,21,0.29,40,2,6,0.29,81,1,0,62,0,143.69,16.92,"41,152.73",0.81,371,0.06,"2,286.26","2,431.75",0.05,20,40,62,0.21,165,206,78,16,99,29.55,72,0
19,11,7,0,5,18,6,0.18,8,2.25,6,1,26,6,1,34,0,60.39,17,"17,452.01",0.34,176,0.06,969.56,"1,026.58",1,5,9,22,0.1,68,108,38,19,59,12.82,34,1
15,5,2,1,8,8,3,0.08,4,2,2,0.67,17,1,0,39,0,74.49,28.18,"59,167.8",0.7,334,0.04,"3,287.1","2,099.32",0.33,2,4,16,0.05,153,181,57,21,64,18.75,40,0
8,11,6,0,11,18,6,0.15,8,2.25,4,0.67,24,3,0.4,39,1,49.03,15.89,"12,381.56",0.26,133,0.06,687.86,779.11,0.5,5,9,20,0.1,56,77,37,21,59,22,39,0
32,61,12,4,60,98,31,0.24,38,2.58,13,0.42,108,23,0.73,126,1,88.43,42.69,"161,178.36",1.26,560,0.02,"8,954.35","3,775.22",0.74,30,50,79,0.14,253,307,80,27,223,33.68,130,0
1,3,1,0,0,4,2,0.4,2,2,1,0.5,6,1,0,5,0,10.75,6,387.18,0.02,18,0.17,21.51,64.53,0.5,1,2,6,0.29,6,12,4,8,7,0,5,0
48,15,7,0,13,28,8,0.11,14,2,4,0.5,51,1,0,76,0,111.14,26.51,"78,099.28",0.98,473,0.04,"4,338.85","2,946.23",0.13,7,14,45,0.06,231,242,61,14,138,14.61,76,0
1,5,2,0,1,8,3,0.23,4,2,3,1,12,1,0,13,1,19.11,10.5,"2,107.08",0.07,45,0.1,117.06,200.67,0.33,2,4,11,0.19,21,24,11,11,16,7.14,13,0
1,5,1,0,1,8,3,0.3,4,2,2,0.67,9,1,0,10,1,12.54,12.75,"2,038.87",0.05,37,0.08,113.27,159.91,0.33,2,4,8,0.23,17,20,8,12,13,9.09,10,0
27,11,13,2,50,20,6,0.1,10,2,4,0.67,35,1,0,61,1,164.89,6.87,"7,793.81",0.38,182,0.15,432.99,"1,133.65",0.17,5,10,31,0.04,80,102,64,11,164,46.02,63,0
0,13,3,0,0,24,7,0.58,12,2,4,0.57,29,1,0,12,0,39.03,10.86,"4,600.49",0.14,84,0.09,255.58,423.73,0.14,6,12,24,0.54,38,46,21,12,13,0,12,0
1,3,2,0,0,4,2,0.4,2,2,2,1,8,1,0,5,0,13.67,5.71,446.5,0.03,20,0.18,24.81,78.14,0.5,1,2,8,0.29,10,10,7,8,7,0,5,0
6,7,2,2,7,12,4,0.14,6,2,2,0.5,17,1,0,26,0,27.15,19.13,"9,929.59",0.17,108,0.05,551.64,519.19,0.25,3,6,15,0.1,51,57,16,12,42,25.71,28,0
2,5,3,1,1,8,3,0.2,4,2,3,1,15,1,0,14,0,33.76,11.7,"4,621.5",0.13,79,0.09,256.75,395,0.33,2,4,14,0.16,39,40,20,12,19,12.5,15,0
0,7,3,0,3,12,4,0.25,6,2,3,0.75,19,1,0,16,0,21.01,13.5,"3,829.06",0.09,59,0.07,212.73,283.63,0.25,3,6,17,0.2,27,32,14,14,20,15.79,16,0
1,7,1,0,0,12,4,0.67,6,2,2,0.5,14,4,1,6,0,10.28,10,"1,027.99",0.03,27,0.1,57.11,102.8,1,3,6,12,0.5,8,19,4,10,8,0,6,0
14,5,7,1,9,8,3,0.11,4,2,2,0.67,15,1,0,27,0,75.95,8.79,"5,865.3",0.22,123,0.11,325.85,667.43,0.33,2,4,14,0.06,58,65,33,10,52,27.03,28,0
1,15,2,0,0,24,8,0.44,10,2.4,5,0.63,29,5,0.57,18,0,26.75,22.92,"14,050.56",0.2,111,0.04,780.59,613.12,0.63,7,12,23,0.4,50,61,24,22,20,0,18,0
101,46,1,12,7,66,26,0.17,28,2.36,11,0.42,89,17,0.64,143,2,95.85,44.73,"191,759.06",1.43,604,0.02,"10,653.28","4,287.21",0.65,19,33,65,0.1,271,333,103,34,264,11.73,155,0
19,19,7,0,8,36,10,0.2,18,2,10,1,45,3,0.22,49,1,81.98,25.56,"53,537.93",0.7,326,0.04,"2,974.33","2,094.96",0.3,9,18,37,0.13,140,186,63,23,77,14.04,49,0
12,7,1,0,0,12,4,0.17,6,2,4,1,12,1,0,23,1,44.56,12.22,"6,656.52",0.18,101,0.08,369.81,544.62,0.25,3,6,10,0.11,44,57,27,15,36,0,23,1
9,15,3,0,8,28,8,0.16,14,2,4,0.5,29,5,0.57,51,4,54.24,14.29,"11,081.65",0.26,136,0.07,615.65,775.26,0.63,7,14,23,0.12,54,82,34,18,69,13.56,51,0
24,7,2,11,29,12,4,0.08,6,2,1,0.25,28,1,0,41,0,66.5,19.73,"25,890.47",0.44,224,0.05,"1,438.36","1,312.19",0.25,3,6,26,0.04,81,143,39,19,106,49.38,52,0
2,3,1,0,0,4,2,0.4,2,2,2,1,5,1,0,5,0,14.06,8.13,927.88,0.04,26,0.12,51.55,114.2,0.5,1,2,5,0.25,10,16,8,13,8,0,5,0
