$loc,$v,$ev,$iv,$n,$v,$l,$d,$i,$e,$b,$t,$LOcode,$LOComment,$LOBlank,$locCodeAndComment,$uniq_Op,$uniq_Opnd,$total_Op,$total_Opnd,$branchCount,$<defects
32,3,3,2,83,399.01,0.05,19,21,7581.2,0.13,421.18,15,12,5,0,14,14,45,38,5,0
32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
14,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
5,1,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,1,0,3,1,3,1,1,0
11,2,1,2,26,101.58,0.16,6.29,16.16,638.5,0.03,35.47,8,0,1,0,8,7,15,11,3,0
13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1,1,1,25,95.18,0.2,5,19.04,475.92,0.03,26.44,7,0,1,0,7,7,15,10,1,0
8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7,1,1,1,14,46.51,0.17,5.83,7.97,271.29,0.02,15.07,4,0,1,0,7,3,9,5,1,0
270,45,30,14,1069,6063.82,0.01,158.71,38.21,962387.34,2.02,53465.96,164,78,25,1,20,31,577,492,89,0
53,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
97,9,4,5,331,2098.49,0.03,31.25,67.15,65577.82,0.7,3643.21,67,6,20,1,27,54,206,125,14,0
27,1,1,1,130,666.81,0.08,12,55.57,8001.68,0.22,444.54,17,0,5,0,12,23,84,46,1,0
123,4,1,4,509,3359.36,0.04,25.7,130.72,86326.6,1.12,4795.92,71,23,21,0,21,76,323,186,7,0
236,15,1,15,705,4599.11,0.03,28.74,160.04,132163.93,1.53,7342.44,160,30,41,0,16,76,432,273,29,0
29,1,1,1,13,30.19,0,0,0,0,0.01,0,11,13,3,0,5,0,13,0,1,0
