$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
25,10,36,0,44,13,0.32,20,2.2,11,0.85,62,12,0,5,2,33.96,29.93,"30,428.36",0.34,191,0.03,"1,690.46","1,016.49",0.92,12,22,51,0.3,81,110,23,17,44,87.8,41,0
7,0,7,2,12,4,0.5,6,2,1,0.25,16,1,0,1,2,13.02,12,"1,875.31",0.05,40,0.08,104.18,156.28,0.25,3,6,14,0.33,21,19,7,8,12,90,8,1
3,3,4,0,4,2,0.33,2,2,2,1,7,1,0,2,3,13.71,6.67,609.18,0.03,24,0.15,33.84,91.38,0.5,1,2,7,0.22,10,14,6,8,9,66.67,6,0
5,2,6,4,6,3,0.43,2,3,2,0.67,10,3,1,1,0,13.22,5.6,414.45,0.02,20,0.18,23.02,74.01,1,2,3,9,0.23,7,13,5,8,13,90.91,7,0
3,2,3,0,4,2,0.5,2,2,2,1,6,1,0,1,0,15,2,60,0.01,10,0.5,3.33,30,0.5,1,2,6,0.33,4,6,4,4,6,75,4,0
3,3,6,0,4,2,0.25,2,2,2,1,7,1,0,2,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,0.5,1,2,7,0.2,8,13,6,7,10,75,8,0
3,4,4,2,4,2,0.4,2,2,2,1,12,1,0,1,0,15.19,5.14,401.85,0.03,20,0.19,22.33,78.14,0.5,1,2,12,0.22,9,11,7,8,9,85.71,5,0
5,2,12,0,8,3,0.19,4,2,2,0.67,13,1,0,4,3,17.43,11.45,"2,287.31",0.07,43,0.09,127.07,199.69,0.33,2,4,12,0.15,18,25,11,14,20,75,16,0
3,3,4,1,4,2,0.33,2,2,2,1,10,1,0,2,0,13.02,7.5,732.54,0.03,25,0.13,40.7,97.67,0.5,1,2,10,0.22,10,15,6,9,9,71.43,6,0
3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,2,8.36,6,301.14,0.02,14,0.17,16.73,50.19,0.5,1,2,6,0.5,6,8,4,8,4,50,2,0
13,3,20,4,22,7,0.3,10,2.2,2,0.29,24,7,1,3,6,15.78,26.43,"11,025.26",0.14,82,0.04,612.51,417.17,1,6,11,19,0.23,37,45,14,20,31,88.89,23,0
26,11,55,8,36,15,0.23,18,2,14,0.93,70,5,0,9,4,36.64,36.91,"49,908.77",0.45,228,0.03,"2,772.71","1,352.21",0.33,9,18,57,0.19,87,141,33,28,77,87.5,64,0
20,8,44,91,24,12,0.24,12,2,9,0.75,44,1,0,6,0,35.3,23.76,"19,928.53",0.28,151,0.04,"1,107.14",838.74,0.08,6,12,34,0.08,54,97,25,22,143,95.74,50,0
3,2,5,2,4,2,0.33,2,2,1,0.5,9,1,0,1,0,20.37,9,"1,649.85",0.06,39,0.11,91.66,183.32,0.5,1,2,9,0.2,18,21,13,13,10,87.5,6,0
7,1,12,1,12,4,0.31,6,2,1,0.25,17,1,0,1,4,19.87,20.53,"8,379.04",0.14,84,0.05,465.5,408.07,0.25,3,6,15,0.21,44,40,15,14,19,92.86,13,0
9,9,11,2,16,5,0.36,8,2,5,1,26,3,0,3,0,17.75,15.27,"4,139.35",0.09,57,0.07,229.96,271.03,0.6,4,8,23,0.28,21,36,11,16,18,81.25,14,0
3,4,5,1,4,2,0.25,2,2,2,1,8,1,0,3,2,14.88,8.13,982.54,0.04,29,0.12,54.59,120.93,0.5,1,2,8,0.18,13,16,8,10,11,66.67,8,0
1,1,1,0,4,1,0.5,2,2,1,1,2,1,0,1,2,11.24,4,179.89,0.01,13,0.25,9.99,44.97,1,1,2,3,0.25,3,10,3,8,4,50,2,0
5,1,8,4,6,3,0.33,2,3,2,0.67,7,3,1,1,3,27.51,13.75,"5,202.03",0.13,75,0.07,289,378.33,1,2,3,6,0.2,33,42,18,15,15,92.31,9,1
3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,0
3,2,7,0,4,2,0.22,2,2,2,1,7,1,0,2,1,14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,0.5,1,2,7,0.18,8,13,6,8,11,77.78,9,0
34,16,41,17,60,18,0.38,30,2,18,1,90,1,0,6,0,25.36,43.56,"48,124.47",0.37,219,0.02,"2,673.58","1,104.72",0.06,15,30,74,0.27,82,137,16,17,66,90.63,47,0
9,6,10,3,16,5,0.42,8,2,5,1,22,4,0,2,0,24.97,11.05,"3,049.11",0.09,61,0.09,169.39,275.94,0.8,4,8,19,0.29,17,44,10,13,17,86.67,12,0
5,9,12,3,8,3,0.2,4,2,3,1,18,1,0,3,0,45.04,7.15,"2,302.46",0.11,65,0.14,127.91,322.02,0.33,2,4,17,0.15,26,39,20,11,20,83.33,15,0
3,0,1,0,4,2,1,2,2,1,0.5,6,1,0,1,1,7.92,4,126.8,0.01,10,0.25,7.04,31.7,0.5,1,2,6,0.4,4,6,3,6,5,50,2,0
11,0,13,0,20,6,0.43,10,2,1,0.17,20,1,0,1,3,8.78,13.33,1560,0.04,39,0.08,86.67,117,0.17,5,10,16,0.38,16,23,3,5,16,92.86,14,0
15,1,17,2,28,8,0.44,14,2,8,1,51,1,0,1,1,12.26,65.83,"53,124.43",0.27,176,0.02,"2,951.36",806.95,0.13,7,14,45,0.33,79,97,9,15,24,95,18,0
9,0,11,14,16,5,0.42,8,2,1,0.2,18,1,0,1,0,12.69,14.4,"2,631.64",0.06,48,0.07,146.2,182.75,0.2,4,8,15,0.18,16,32,5,9,28,96.15,12,0
287,74,558,111,570,144,0.22,284,2,115,0.8,710,124,0,105,0,310.31,53.33,"882,628.66",5.52,2041,0.02,"49,034.93","16,549.5",0.86,143,285,568,0.19,843,1198,245,31,776,86.43,663,0
