$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
3,2,2,5,4,2,0.67,2,2,2,1,6,1,0,1,0,9,3,81,0.01,9,0.33,4.5,27,0.5,1,2,6,0.2,2,7,2,6,10,87.5,3,0
3,1,0,0,4,2,1,2,2,2,1,5,1,0,0,0,8.3,4,132.88,0.01,10,0.25,7.38,33.22,0.5,1,2,5,2,2,8,2,8,1,0,0,0
7,5,10,1,12,4,0.31,6,2,4,1,25,1,0,3,1,14.36,24.56,"8,656.64",0.12,75,0.04,480.92,352.53,0.25,3,6,23,0.25,26,49,9,17,16,78.57,13,0
7,4,9,1,12,4,0.33,6,2,4,1,20,1,0,3,5,18.18,17,"5,255.28",0.1,63,0.06,291.96,309.13,0.25,3,6,18,0.24,26,37,13,17,17,76.92,12,0
7,2,21,1,12,4,0.16,6,2,2,0.5,15,4,1,4,4,19.5,21.43,"8,952.56",0.14,86,0.05,497.36,417.79,1,3,6,13,0.14,40,46,14,15,29,84.62,25,0
3,4,9,0,4,2,0.17,2,2,2,1,11,1,0,3,2,18.73,11.11,"2,312.76",0.07,49,0.09,128.49,208.15,0.5,1,2,11,0.14,20,29,9,10,14,75,12,0
3,0,1,0,6,2,1,2,3,1,0.5,5,1,0,1,1,9.08,5.33,258.3,0.02,14,0.19,14.35,48.43,0.5,2,3,5,0.5,4,10,3,8,4,50,2,0
5,14,35,67,8,3,0.08,4,2,2,0.67,26,1,0,3,0,54.07,19.38,"20,319.16",0.35,192,0.05,"1,128.84","1,048.21",0.33,2,4,25,0.03,56,136,26,18,107,97.14,38,0
5,1,4,0,6,3,0.6,2,3,2,0.67,8,3,1,1,1,7.99,7.88,495.4,0.02,17,0.13,27.52,62.91,1,2,3,7,0.43,7,10,4,9,7,80,5,0
5,3,4,0,6,3,0.6,2,3,3,1,10,3,1,1,3,17.44,5.63,551.81,0.03,24,0.18,30.66,98.1,1,2,3,9,0.38,10,14,8,9,8,80,5,0
77,63,204,72,148,39,0.18,74,2,39,1,250,1,0,12,2,286.79,27.72,"220,367.27",2.65,1044,0.04,"12,242.63","7,949.76",0.03,37,74,213,0.13,462,582,175,21,289,95.83,216,0
3,0,4,0,4,2,0.4,2,2,1,0.5,6,1,0,1,1,10.99,3.75,154.53,0.01,13,0.27,8.59,41.21,0.5,1,2,6,0.29,6,7,4,5,7,80,5,0
7,2,9,0,12,4,0.36,6,2,3,0.75,16,1,0,2,3,11.84,17.06,"3,447.42",0.07,46,0.06,191.52,202.05,0.25,3,6,14,0.31,21,25,8,13,13,81.82,11,0
5,3,4,0,8,3,0.6,4,2,3,1,15,1,0,1,1,10.03,17.33,"3,014.58",0.06,39,0.06,167.48,173.92,0.33,2,4,14,0.43,13,26,6,16,7,80,5,0
7,3,18,40,4,5,0.24,2,2,5,1,15,1,0,3,0,24.19,12.38,"3,709.91",0.1,63,0.08,206.11,299.56,0.2,1,2,12,0.08,23,40,13,14,63,95.08,21,0
7,4,21,48,4,5,0.21,2,2,5,1,16,1,0,3,0,26.15,12.5,"4,086.25",0.11,68,0.08,227.01,326.9,0.2,1,2,13,0.07,25,43,14,14,74,95.83,24,0
5,3,3,0,6,3,0.75,2,3,2,0.67,9,1,0,1,3,11.72,9,949.37,0.04,27,0.11,52.74,105.49,0.33,2,3,8,0.38,12,15,6,9,8,75,4,0
7,1,4,0,12,4,0.8,6,2,1,0.25,14,1,0,1,1,16.48,8.25,"1,121.45",0.05,32,0.12,62.3,135.93,0.25,3,6,12,0.57,12,20,8,11,7,80,5,0
5,0,12,0,8,3,0.21,4,2,1,0.33,10,1,0,2,5,11.04,18.86,"3,925.09",0.07,49,0.05,218.06,208.15,0.33,2,4,9,0.18,22,27,7,12,17,85.71,14,0
5,1,7,0,8,3,0.33,4,2,2,0.67,10,1,0,2,3,19.46,4.5,394.06,0.03,23,0.22,21.89,87.57,0.33,2,4,9,0.25,9,14,7,7,12,77.78,9,0
7,9,11,4,12,4,0.33,6,2,4,1,20,1,0,1,2,27.93,10.21,"2,914.07",0.1,60,0.1,161.89,285.29,0.25,3,6,18,0.22,22,38,14,13,18,93.75,12,0
7,12,17,8,12,4,0.21,6,2,4,1,24,1,0,2,4,51.96,5.57,"1,612.97",0.1,59,0.18,89.61,289.51,0.25,3,6,22,0.14,26,33,21,9,29,92.59,19,0
