$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
9,2,11,0,14,5,0.36,6,2.33,3,0.6,18,3,0,3,6,13.82,16.29,"3,666.57",0.08,53,0.06,203.7,225.14,0.6,4,7,15,0.28,19,34,7,12,18,78.57,14,0
3,1,2,0,4,2,0.67,2,2,2,1,5,1,0,1,0,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,0.5,1,2,5,0.4,3,7,3,7,5,66.67,3,0
7,4,9,0,10,4,0.36,4,2.5,4,1,17,3,0,2,2,19.24,10.2,"2,001.39",0.07,44,0.1,111.19,196.21,0.75,3,5,15,0.31,17,27,10,12,13,81.82,11,0
5,4,11,1,8,3,0.23,4,2,3,1,11,3,1,2,3,20.81,9,"1,685.67",0.06,42,0.11,93.65,187.3,1,2,4,10,0.17,18,24,11,11,18,85.71,13,0
3,0,6,0,4,2,0.29,2,2,1,0.5,6,1,0,1,3,12.44,9,1008,0.04,28,0.11,56,112,0.5,1,2,6,0.18,14,14,7,9,11,85.71,7,0
3,0,1,0,6,2,1,2,3,1,0.5,5,1,0,1,1,9,3.33,100,0.01,10,0.3,5.56,30,0.5,2,3,5,0.5,4,6,3,5,4,50,2,0
11,3,19,3,20,6,0.27,10,2,2,0.33,25,5,0,3,7,17.87,23.79,"10,108.93",0.14,85,0.04,561.61,425,0.83,5,10,21,0.21,37,48,14,18,29,88,22,0
18,10,40,12,28,10,0.22,14,2,9,0.9,42,1,0,6,0,36.22,21.25,"16,357.82",0.26,141,0.05,908.77,769.78,0.1,7,14,34,0.17,51,90,24,20,60,89.66,46,0
13,18,34,11,24,7,0.19,12,2,6,0.86,50,1,0,3,2,53.48,14,"10,482.64",0.25,132,0.07,582.37,748.76,0.14,6,12,45,0.14,56,76,34,17,50,93.75,37,0
3,0,2,0,4,2,0.67,2,2,1,0.5,6,1,0,1,1,12.63,2,50.53,0.01,9,0.5,2.81,25.27,0.5,1,2,6,0.4,3,6,3,4,5,66.67,3,0
3,3,12,0,4,2,0.13,2,2,2,1,9,1,0,3,5,23.84,19.04,"8,641.77",0.15,99,0.05,480.1,453.91,0.5,1,2,9,0.11,45,54,13,11,19,80,15,0
3,3,3,0,4,2,0.5,2,2,2,1,7,1,0,1,3,14.14,7.07,707.14,0.03,25,0.14,39.29,100,0.5,1,2,7,0.29,11,14,7,9,7,75,4,0
3,5,6,1,4,2,0.29,2,2,2,1,10,1,0,1,4,26.87,6.36,"1,087.97",0.06,41,0.16,60.44,170.97,0.5,1,2,10,0.15,20,21,11,7,13,87.5,7,0
3,2,4,0,4,2,0.33,2,2,2,1,6,1,0,2,3,11.1,8,710.48,0.03,24,0.13,39.47,88.81,0.5,1,2,6,0.25,10,14,5,8,8,66.67,6,0
5,1,9,0,8,3,0.25,4,2,2,0.67,9,1,0,3,5,9.96,15.6,"2,423.05",0.05,38,0.06,134.61,155.32,0.33,2,4,8,0.19,13,25,5,12,16,75,12,0
3,1,7,26,4,2,0.22,2,2,1,0.5,7,1,0,2,0,22.53,16.25,"5,949.55",0.12,77,0.06,330.53,366.13,0.5,1,2,7,0.05,35,42,14,13,37,94.29,9,0
9,1,11,0,14,5,0.36,6,2.33,1,0.2,16,3,0,3,5,11.3,18.42,"3,833.4",0.07,49,0.05,212.97,208.15,0.6,4,7,13,0.28,17,32,6,13,18,78.57,14,0
11,1,5,0,20,6,0.86,8,2.5,3,0.5,20,5,0,2,5,13.32,13.71,"2,505.06",0.06,43,0.07,139.17,182.66,0.83,6,10,16,0.55,16,27,7,12,11,71.43,7,0
5,1,14,0,8,3,0.18,4,2,1,0.33,9,1,0,3,3,17.05,11.25,"2,157.94",0.06,46,0.09,119.89,191.82,0.33,2,4,8,0.14,18,28,8,10,21,82.35,17,0
15,2,21,0,28,8,0.32,14,2,5,0.63,32,8,1,4,3,9.14,26,"6,179.83",0.08,57,0.04,343.32,237.69,1,7,14,26,0.29,20,37,5,13,28,84,25,0
3,0,0,0,4,2,1,2,2,1,0.5,5,1,0,0,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,1,3,5,2,5,2,0,0,0
5,3,9,1,8,3,0.25,4,2,3,1,15,1,0,3,1,10.22,20.64,"4,353.75",0.07,46,0.05,241.87,210.91,0.33,2,4,14,0.2,17,29,7,17,15,76.92,12,0
3,1,2,0,4,2,0.67,2,2,2,1,5,1,0,1,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,0.4,3,5,2,5,5,66.67,3,0
5,2,3,0,8,3,0.75,4,2,2,0.67,12,1,0,1,3,8.94,14,"1,751.37",0.04,30,0.07,97.3,125.1,0.33,2,4,11,0.43,14,16,6,12,7,75,4,0
5,7,5,6,8,3,0.5,4,2,3,1,17,1,0,1,3,24.08,11.85,"3,379.63",0.1,60,0.08,187.76,285.29,0.33,2,4,16,0.18,22,38,13,14,17,91.67,6,0
9,1,9,0,14,5,0.45,6,2.33,3,0.6,17,4,0,2,5,11.21,16,"2,868.91",0.06,43,0.06,159.38,179.31,0.8,4,7,14,0.36,16,27,6,12,14,81.82,11,0
3,1,5,0,4,2,0.29,2,2,2,1,7,1,0,2,4,9.07,12.6,"1,439.18",0.04,30,0.08,79.95,114.22,0.5,1,2,7,0.18,14,16,5,9,11,71.43,7,0
5,1,13,1,8,3,0.19,4,2,2,0.67,10,3,1,3,5,23.75,17,"6,864.9",0.13,84,0.06,381.38,403.82,1,2,4,9,0.13,34,50,14,14,23,82.35,16,0
12,1,31,66,12,8,0.22,6,2,1,0.13,26,1,0,6,0,24.77,35.05,"30,423.07",0.29,159,0.03,"1,690.17",868.05,0.13,3,6,20,0.08,64,95,21,23,105,94.17,37,0
3,1,6,0,4,2,0.29,2,2,2,1,6,1,0,1,1,13.54,7.5,761.84,0.03,26,0.13,42.32,101.58,0.5,1,2,6,0.22,10,16,6,9,9,85.71,7,0
7,5,10,3,10,4,0.33,4,2.5,3,0.75,14,1,0,2,2,27.19,7.86,"1,678.42",0.07,46,0.13,93.25,213.62,0.25,3,5,12,0.24,20,26,14,11,17,86.67,12,0
3,2,2,0,4,2,0.67,2,2,2,1,6,1,0,1,3,10.99,6.4,449.97,0.02,19,0.16,25,70.31,0.5,1,2,6,0.33,8,11,5,8,6,66.67,3,0
9,1,11,0,14,5,0.36,6,2.33,1,0.2,17,3,0,3,5,11.59,23.83,"6,580.75",0.09,65,0.04,365.6,276.12,0.6,4,7,14,0.28,22,43,6,13,18,78.57,14,0
5,1,7,8,8,3,0.38,4,2,2,0.67,11,1,0,1,4,13.79,12.95,"2,313.9",0.06,38,0.08,128.55,178.62,0.33,2,4,10,0.17,19,19,11,15,18,93.75,8,0
3,0,0,0,6,2,1,2,3,1,0.5,5,1,0,0,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,0.5,2,3,5,2,2,4,2,4,1,0,0,0
3,0,1,0,4,2,1,2,2,1,0.5,5,1,0,1,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,0.5,3,5,2,5,4,50,2,0
7,3,13,1,12,4,0.27,6,2,3,0.75,20,1,0,2,1,11.84,26.39,"8,245.95",0.1,65,0.04,458.11,312.48,0.25,3,6,18,0.22,25,40,9,19,18,87.5,15,0
13,9,26,12,24,7,0.22,12,2,5,0.71,35,5,0,6,1,22.56,27.5,"17,060.75",0.21,120,0.04,947.82,620.39,0.71,6,12,30,0.15,44,76,16,20,46,86.36,32,0
3,0,3,6,4,2,0.4,2,2,1,0.5,6,1,0,2,0,10,9.9,980.01,0.03,26,0.1,54.45,98.99,0.5,1,2,6,0.15,11,15,5,9,13,81.82,5,0
5,1,7,1,8,3,0.3,4,2,2,0.67,11,1,0,3,1,12,8.33,833.33,0.03,25,0.12,46.3,100,0.33,2,4,10,0.23,10,15,6,10,13,72.73,10,0
7,5,17,12,12,4,0.21,6,2,4,1,20,1,0,2,3,30.56,21,"13,475.4",0.21,119,0.05,748.63,641.69,0.25,3,6,18,0.12,56,63,24,18,33,93.55,19,0
3,1,2,0,4,2,0.67,2,2,2,1,6,1,0,1,1,14.83,3.5,181.62,0.02,15,0.29,10.09,51.89,0.5,1,2,6,0.4,4,11,4,7,5,66.67,3,0
3,2,6,0,4,2,0.29,2,2,2,1,6,1,0,1,1,11.82,7.2,612.79,0.03,23,0.14,34.04,85.11,0.5,1,2,6,0.22,9,14,5,8,9,85.71,7,0
5,3,10,3,8,3,0.27,4,2,3,1,11,1,0,1,5,28.2,10,"2,820.26",0.09,60,0.1,156.68,282.03,0.33,2,4,10,0.14,20,40,13,13,21,92.86,11,0
21,8,29,5,36,11,0.35,16,2.25,11,1,54,9,0,2,4,40.72,23.68,"22,836.03",0.32,180,0.04,"1,268.67",964.36,0.82,10,18,45,0.27,74,106,25,16,41,94.44,31,0
